ErrorCode,Question,Answer

*,How do I reboot the cooler from the GFCI?,"Press the GFCI’s RESET button, unplug and re-plug the mains cord, then open the Service UI → “Reboot” dialog."
*,What’s the unit’s capacity and footprint?,"This Gen-2 QuikPick (IDW G-28) holds 336×20 oz SKUs in a 30.4״ × 36.3״ × 81.6״ chassis."
*,How do I contact QuickPick support?,"Call 1-800-QUIKPICK to report any hardware or software issues."
*,What packaging do I need for relocating a unit?,"Use a G-28-Q pallet, poly bag, carton topper, edge protectors (Uline S-15205, S-6062, S-2459, S-2458), foam pads (S-8339), shrink wrap, and straps."

2_2,What does MACHINE_IS_IN_USE mean?,"Error code 2_2 indicates that a shopping cart is still detected in the Cart Recognition Area (CCR), so the kiosk will not accept new commands until the cart is cleared."
2_2,How do I check if the cart is present?,"Open the Service UI, tap the QuikPick logo 10 times to unlock maintenance mode, select “Cart Status,” and verify whether the “Cart Present” indicator is on."
2_2,How do I remove the cart from the CCR?,"Use the Service UI menu: Operation → Eject Cart. Physically remove any cart or debris, then close the door to reset the sensor."
2_2,Can I bypass the cart sensor to resume operation?,"No; for safety, the machine requires the CCR to be clear. You must eject the cart or perform a full reboot via the GFCI reset to clear the error."
2_2,Where are cart sensor logs stored?,"Cart sensor events are logged at `/var/log/vision/cart_status.log` on the kiosk’s internal storage; you can download them via the Admin → Logs menu."

2_4,What does ALGORITHM_FAILURE mean?,"Error code 2_4 means the software (SW) and computer-vision (CV) module versions do not match, so the AI recognition algorithm cannot run."
2_4,How do I verify SW and CV versions?,"In maintenance mode (tap logo ×10), go to BasicInfo on the Service UI. Compare the displayed SW and CV version numbers against your release matrix."
2_4,How do I update the software or CV module?,"From the Consumer UI, navigate Settings → System Update, check for updates, and follow prompts. For the CV module, follow the manufacturer’s update procedure or contact support."
2_4,What if the CV module fails to install?,"Call 1-800-QUIKPICK and provide the BasicInfo screen capture along with any update log snippets; they’ll walk you through an offline CV update package."
2_4,Where can I find the update logs?,"Software update logs live in `/var/log/sw/update.log`; the CV module’s update process logs to `/var/log/vision/update.log`."

2_13,What does LOCK_ABNORMAL indicate?,"Error code 2_13 means the lock actuator reports engagement but the door isn’t in its default state—either physical blockage or pairing mismatch."
2_13,How do I test lock actuator wiring?,"Power off the kiosk, open the control box (see Electrical Diagram in the beta field PDF), disconnect the actuator cable, and use a multimeter to check continuity across the two terminals."
2_13,How can I verify RFID pairing?,"In the FQC App, open the RFID Pairing menu, initiate pairing, and confirm the displayed reader and tag IDs match exactly."
2_13,What if the lock actuator still misbehaves?,"Replace the actuator harness with the new shielded cable from the Beta Field hardware kit (secondary shielding added in scale-up) and retest."
2_13,Where are lock diagnostic logs located?,"Lock events and errors are recorded in `/var/log/vision/lock_diagnostics.log`; you can tail this file in the Admin → Logs menu."

3_02,Why does MACHINE_IS_IN_USE appear on Open Lock?,"Error code 3_02 is the same CART‐IN‐USE sensor: the system still detects a cart in the CCR and blocks lock commands until it’s cleared."
